
Question,4. What are the common symptoms of COVID-19?,,,
Reference text,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,,,

Serial,Reference text,User Text,Ref Sim Score,Qs Sim Score
1,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,COMMON SYMPTOMS Fever Cough General malaise Loss of taste or smell UN COMMON SYMPTOMS: Sore throat Headache Diarrhea Skin rash Irritated eyes SYMPTOMS - COMPLICATIONS: Difficulty breathing or dyspnea Lethargy Chest pain,0.7371243,0.5479515
2,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,0.99999964,0.4816375
3,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,Flu-like symptoms plus loss of taste and smell.,0.7348909,0.5184802
3,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,Also pain in the lung area and shortness of breath,0.56392,0.4849732
4,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,"Cough, fever, myalgia, dyspnea, malaise.",0.6445761,0.6403417

Question,19. Have you had any discomfort after vaccination?,,,
Reference text,fever and muscle pain,,,

Serial,Reference text,User Text,Ref Sim Score,Qs Sim Score
1,fever and muscle pain,"Yes, general malaise for 1 night .",0.25653636,0.36220476
2,fever and muscle pain,"Yes, in the second vaccination I had a fever and muscle pain.",0.54355067,0.7163057
3,fever and muscle pain,Pain at the injection site,0.3471114,0.5508833
4,fever and muscle pain,Yes.,0.001767125,0.08461962
4,fever and muscle pain,"General malaise, fever, myalgia, headache.",0.5425809,0.3206733

Question,1. How is COVID 19 passed or transmitted to people? ,,,
Reference text,It is transmitted by respiratory droplets that contain the virus. ,,,

Serial,Reference text,User Text,Ref Sim Score,Qs Sim Score
1,It is transmitted by respiratory droplets that contain the virus.," Direct contact, transmission by air and by droplets.",0.55684155,0.43290943
2,It is transmitted by respiratory droplets that contain the virus., Through indirect or direct contact with secretions infected by the virus.,0.7537317,0.7068597
3,It is transmitted by respiratory droplets that contain the virus.,By air with virus particles present in the environment and less frequently with virus particles on surfaces,0.72867465,0.6494765
4,It is transmitted by respiratory droplets that contain the virus.,It is transmitted by respiratory droplets that contain the virus.,1.0000002,0.70454633

Question,10. How do masks help to avoid getting sick with COVID 19?,,,
Reference text,"They prevent transmission to a certain extent if we have the virus by blocking a good part of the particles that we emit that may contain the virus. If one does not have the virus, it helps to avoid the entry of similar particles to the mouth or nose. ",,,

Serial,Reference text,User Text,Ref Sim Score,Qs Sim Score
